outer_fold,stage,seed,best_epoch,best_validation_BA,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,class0_recall,class1_recall,mcc,roc_auc
3,Stage 3,43,17,0.675366568914956,86,56,0.7321428571428571,0.5845528455284553,0.5896433805569126,0.26666666666666666,0.9024390243902439,0.21400807927407775,0.6113821138211382
3,Stage 3,44,15,0.6824046920821114,86,56,0.7857142857142857,0.6211382113821138,0.6347826086956522,0.26666666666666666,0.975609756097561,0.37625182947568986,0.6878048780487805
3,Stage 3,45,13,0.6592375366568914,86,56,0.75,0.5967479674796748,0.604040404040404,0.26666666666666666,0.926829268292683,0.25909697555355377,0.608130081300813
3,Stage 3,46,15,0.675366568914956,86,56,0.7857142857142857,0.6634146341463415,0.6818181818181819,0.4,0.926829268292683,0.39408355825998287,0.7284552845528456
4,Stage 1,42,35,0.8892714218455744,755,690,0.8652173913043478,0.8825580197158265,0.8360580349957463,0.8489483747609943,0.9161676646706587,0.6936807693863781,0.9478709884246803
4,Stage 1,43,27,0.8752858488027979,755,690,0.8797101449275362,0.881928304003847,0.8490427778026723,0.8776290630975143,0.8862275449101796,0.7091515251109842,0.9512256557630436
4,Stage 1,44,20,0.8763325598601022,755,690,0.8420289855072464,0.8570717074455296,0.8095346628679962,0.8279158699808795,0.8862275449101796,0.6434826178933578,0.9387916327955943
4,Stage 1,45,5,0.8769252757600215,755,690,0.8333333333333334,0.8554115478412201,0.8018602909045509,0.8126195028680688,0.8982035928143712,0.6345029347194037,0.9388259809253385
4,Stage 1,46,31,0.8979898103309121,755,690,0.8739130434782608,0.8801422012571416,0.843294394048163,0.8680688336520076,0.8922155688622755,0.7004641531035453,0.9469550382981646
4,Stage 2,42,7,0.741852487135506,225,167,0.6586826347305389,0.6998144138570986,0.6582414820665637,0.8524590163934426,0.5471698113207547,0.39258821440736735,0.8264769563872565
4,Stage 2,43,7,0.7235563178959405,225,167,0.6646706586826348,0.6975719146303743,0.6632094497263037,0.819672131147541,0.5754716981132075,0.3841890684493336,0.7579647386328487
4,Stage 2,44,9,0.7115494568324756,225,167,0.6586826347305389,0.6893751933188988,0.6569111551630924,0.8032786885245902,0.5754716981132075,0.3676593187368326,0.8051345499536033
4,Stage 2,45,11,0.7368496283590623,225,167,0.6347305389221557,0.6774667491493969,0.6345208624834069,0.8360655737704918,0.5188679245283019,0.3505161844551077,0.8008042066192391
4,Stage 2,46,6,0.7235563178959405,225,167,0.6526946107784432,0.6916176925456232,0.6520833333333333,0.8360655737704918,0.5471698113207547,0.37558773199223405,0.7613671512527065
4,Stage 3,42,7,0.41956521739130437,66,61,0.5081967213114754,0.53125,0.38836898395721925,1.0,0.0625,0.17527218542327486,0.4709051724137931
4,Stage 3,43,4,0.39021739130434785,66,61,0.47540983606557374,0.5,0.32222222222222224,1.0,0.0,0.0,0.4482758620689655
4,Stage 3,44,1,0.44565217391304346,66,61,0.4918032786885246,0.4703663793103448,0.3561457269322438,0.034482758620689655,0.90625,-0.11956973807177523,0.3114224137931035
4,Stage 3,45,9,0.41956521739130437,66,61,0.5245901639344263,0.5452586206896552,0.43751987281399046,0.9655172413793104,0.125,0.16478826540076544,0.6573275862068966
4,Stage 3,46,1,0.4673913043478261,66,61,0.4918032786885246,0.4703663793103448,0.3561457269322438,0.034482758620689655,0.90625,-0.11956973807177523,0.2898706896551725
5,Stage 1,42,31,0.8843119527978682,753,867,0.9215686274509803,0.9192476474585642,0.9157963893967094,0.9276672694394213,0.910828025477707,0.8319947523643173,0.9738715287775999
5,Stage 1,43,3,0.8629377617053673,753,867,0.8869665513264129,0.8838645028276569,0.8791118421052632,0.895117540687161,0.8726114649681529,0.7590832456679493,0.9356837631448612
5,Stage 1,44,32,0.8824895317853065,753,867,0.9123414071510957,0.9016914110641434,0.9044611476493719,0.9403254972875226,0.8630573248407644,0.8092057161094103,0.9670356250215962
5,Stage 1,45,3,0.8714312904453749,753,867,0.8869665513264129,0.8687241565980581,0.8753184320815186,0.9349005424954792,0.802547770700637,0.7525293632687914,0.9593473929118531
5,Stage 1,46,3,0.8807289684050248,753,867,0.8985005767012687,0.8908415014800567,0.8903036576949621,0.918625678119349,0.8630573248407644,0.7806182810090094,0.9539627509473514
5,Stage 2,42,4,0.6242063492063492,186,331,0.6858006042296072,0.7484211191107744,0.629530779164873,0.8448275862068966,0.652014652014652,0.38098842429236063,0.8431855500821018
5,Stage 2,43,5,0.6682539682539683,186,331,0.770392749244713,0.7318112921561197,0.678443603640454,0.6724137931034483,0.7912087912087912,0.3884099583168376,0.8269546545408614
5,Stage 2,44,2,0.6730158730158731,186,331,0.229607250755287,0.5261778451433624,0.21931796109769972,0.9827586206896551,0.0695970695970696,0.08353414232344158,0.8141972969559177
5,Stage 2,45,7,0.6634920634920635,186,331,0.7794561933534743,0.7305166098269547,0.683883459581093,0.6551724137931034,0.8058608058608059,0.39255564125067177,0.8315018315018314
5,Stage 2,46,2,0.6329365079365079,186,331,0.17220543806646527,0.49137931034482757,0.14690721649484537,0.9827586206896551,0.0,-0.11942915424640896,0.7490842490842491
5,Stage 3,42,9,0.5777777777777777,60,58,0.7931034482758621,0.8149350649350648,0.7583333333333333,0.8571428571428571,0.7727272727272727,0.5554932406347733,0.8376623376623377
5,Stage 3,43,1,0.5888888888888889,60,58,0.7413793103448276,0.48863636363636365,0.42574257425742573,0.0,0.9772727272727273,-0.07471370129423739,0.39448051948051943
5,Stage 3,44,1,0.6,60,58,0.7586206896551724,0.5,0.43137254901960786,0.0,1.0,0.0,0.26298701298701294
5,Stage 3,45,1,0.711111111111111,60,58,0.7586206896551724,0.5,0.43137254901960786,0.0,1.0,0.0,0.2435064935064935
5,Stage 3,46,5,0.5111111111111111,60,58,0.7586206896551724,0.7435064935064934,0.7087517934002869,0.7142857142857143,0.7727272727272727,0.4384540666452508,0.8035714285714285
